PSDB | CANDIDATO | EVANDRO BUQUERA DE FREITAS OLIVEIRA JUNIOR | 20569527000149,64467,0.02355148991304597747
PP | CANDIDATO | FRANCISCA PALACIO BEZERRA | 20570746000148,16,0.00000000000000000000
PDT | CANDIDATO | CRISTIAM GABRIEL | 20576974000125,406,0.00000000000000000000
PMN | CANDIDATO | CLAUDIO DO ESPÍRITO SANTO | 20605084000102,249,0.00000000000000000000
PV | CANDIDATO | DOURIVAL BRAZ SIMÕES | 20571308000102,878,0.00000000000000000000
PSDB | CANDIDATO | MIRIAN DE GODOY BUENO SENEGAGLIA | 20573203000184,549,0.00000000000000000000
PSL | CANDIDATO | ANTONIO APARECIDO DAMAZO | 20572906000198,1220,0.00000000000000000000
PSC | CANDIDATO | ALBINO SILVA TRAMUJAS | 20564813000111,838,0.00000000000000000000
PP | CANDIDATO | CARMO COSTA | 20570680000196,5472,0.00000000000000000000
PV | CANDIDATO | LUIZ FRANCISCO GUIL | 20573025000191,1343,0.00000000000000000000
PSC | CANDIDATO | FATIMA DOS SANTOS | 21031258000125,16,0.00000000000000000000
PSC | CANDIDATO | JONATAS FELISBERTO DA SILVA | 20567454000156,20544,0.00000000000000000000
PP | CANDIDATO | SERGIO JOSÉ VILLELA BARONCINI | 20572782000140,2337,0.00000000000000000000
PSD | CANDIDATO | MARLA APARECIDA TURECK DINIZ | 20578022000140,16395,0.00000000000000000000
PSL | CANDIDATO | ADEMAR PEREIRA TORRES | 20578462000106,1521,0.00000000000000000000
SD | CANDIDATO | SILVIO MARCOS MURBAK | 20574820000102,2437,0.00000000000000000000
PV | CANDIDATO | FRANCISCO MAIA DE SOUZA | 20570734000113,117,0.00000000000000000000
PSC | CANDIDATO | ADAUTO FORNAZIERI | 20609656000113,4177,0.00000000000000000000
PPL | CANDIDATO | MARIA FRAGA BATISTA | 20571830000186,6,0.00000000000000000000
PTN | CANDIDATO | ELISEU RIBEIRO DA SILVA | 20577039000183,1264,0.00000000000000000000
PSD | CANDIDATO | FRANCISCO LACERDA BRASILEIRO | 20577729000132,50930,0.00000000000000000000
PSDC | CANDIDATO | JURANDI PEREIRA | 20580849000199,386,0.00000000000000000000
PSD | CANDIDATO | MARCELINO COELHO | 20574449000170,1056,0.00000000000000000000
PC do B | CANDIDATO | COSME SENA RAMOS | 20642924000107,163,0.00000000000000000000
PSC | CANDIDATO | OSMAR LOPES FERREIRA | 20565223000103,7131,0.00000000000000000000
PV | CANDIDATO | ALCIMARY AMARAL | 20572967000155,136,0.00000000000000000000
PEN | CANDIDATO | LEVI PEREIRA DA SILVA | 20579622000123,1972,0.00000000000000000000
PSD | CANDIDATO | ANTONIO CARLOS SPERANDIO | 20574025000106,204,0.00000000000000000000
PC do B | CANDIDATO | ANTONIO LUIZ MARTINS DOS REIS | 20576631000160,3671,0.00000000000000000000
PSC | CANDIDATO | TANIA MARA ABRÃO GUERREIRO | 20566475000157,0,0.00000000000000000000
PSDC | CANDIDATO | SIDNEI ANTONIO TREVIZAN | 20576755000146,7804,0.00000000000000000000
PTN | CANDIDATO | SIMONE ANTUNES SIMÕES | 20637451000141,157,0.00000000000000000000
PV | CANDIDATO | RUBENS LOUREIRO | 20570656000157,612,0.00000000000000000000
PP | CANDIDATO | ANTONIO ANTONHOLI | 20572286000197,3399,0.00000000000000000000
PSDC | CANDIDATO | LOURIVAL BATISTA | 20577887000192,555,0.00000000000000000000
PEN | CANDIDATO | ALYSSON LUIS DONAISKI | 20579163000188,55,0.00000000000000000000
PT do B | CANDIDATO | FLAVIO DENI FONSECA NAKAD | 20573670000104,432,0.00000000000000000000
PSC | CANDIDATO | ANTONIO BORGES DOS REIS | 20566409000187,3260,0.00000000000000000000
PV | CANDIDATO | TANIA MARIA HUL | 20572451000100,269,0.00000000000000000000
PV | CANDIDATO | JOÃO BATISTA COELHO DE SOUZA FURLAN | 20569215000135,5375,0.00000000000000000000
PPS | CANDIDATO | JOSE ADAO MONTEIRO | 20571760000166,480,0.00000000000000000000
PPS | CANDIDATO | SILVANA BARBOSA LIMA RIBAS | 20572990000140,196,0.00000000000000000000
PTC | CANDIDATO | PAULO ROBERTO KEGLES | 20581455000155,679,0.00000000000000000000
PSL | CANDIDATO | ADELINO RIBEIRO SILVA | 20577733000109,42924,0.00000000000000000000
PTN | CANDIDATO | JOÃO SEABLA DOS ANJOS | 20576285000110,1787,0.00000000000000000000
PDT | CANDIDATO | JURANDIR JURA PINTO ROSA | 20576713000105,564,0.00000000000000000000
PSDC | CANDIDATO | RENALDO DA ROCHA CRUZ | 20577017000113,730,0.00000000000000000000
PSC | CANDIDATO | JAILTON DE JESUS ROCHA | 20566474000102,1250,0.00000000000000000000
PC do B | CANDIDATO | MARCO ANTONIO ABUJAMRA | 20576918000190,111,0.00000000000000000000
PTN | CANDIDATO | WANDERLEI JEOVAI DA SILVA | 20576809000173,2975,0.00000000000000000000
PV | CANDIDATO | ALEKSANDRA SANTOS | 20569397000144,1227,0.00000000000000000000
PHS | CANDIDATO | JOSE FERNANDO IBANEZ | 20570383000140,15679,0.00000000000000000000
PV | CANDIDATO | JOÃO AUGUSTO BARBOSA | 20569068000101,446,0.00000000000000000000
PEN | CANDIDATO | MARCUS VENICIUS MESQUITA PIRES | 20579914000166,341,0.00000000000000000000
PT | CANDIDATO | JOÃO NORBERTO DE SOUZA | 20576493000110,1967,0.00000000000000000000
PPS | CANDIDATO | ISABEL CRISTINA RAUEN SILVESTRI | 20572726000106,38926,0.00000000000000000000
PRB | CANDIDATO | EDSON DA SILVA PRACZYK | 20576247000168,47797,0.00000000000000000000
PV | CANDIDATO | PATRICIA DE BONA MATTOS | 20569233000117,157,0.00000000000000000000
DEM | CANDIDATO | MARIA IRACLÉZIA DE ARAUJO | 20571971000107,6138,0.00000000000000000000
PSD | CANDIDATO | RUBENS JORDANI BELEZE | 20574519000190,353,0.00000000000000000000
PV | CANDIDATO | VALDECIR HENRIQUE VAZ DE CAMARGO | 20572453000108,246,0.00000000000000000000
PSD | CANDIDATO | SONIA REGINA CUNHA BREIDE | 20577100000192,1023,0.00000000000000000000
PV | CANDIDATO | PEDRO PAULO BAZANA | 20572609000142,12226,0.00000000000000000000
PV | CANDIDATO | STOELSON DOS SANTOS | 20570713000106,411,0.00000000000000000000
PSC | CANDIDATO | ALTAMIR SANSON | 20566914000121,13576,0.00000000000000000000
PSD | CANDIDATO | MOACIR GUEDES DE MOURA | 20580034000100,0,0.00000000000000000000
PR | CANDIDATO | WALMOR FRANCISCO LODI | 20570476000175,2993,0.00000000000000000000
PRB | CANDIDATO | ALGACIR MIKALOVSKI | 20576968000178,4398,0.00000000000000000000
PSDC | CANDIDATO | GERSON BATISTA RIBEIRO | 20580722000170,195,0.00000000000000000000
PPS | CANDIDATO | EDGAR FERREIRA FERRAZ NETO | 20569111000120,94,0.00000000000000000000
